          disk0           disk1 
    KB/t tps  MB/s     KB/t tps  MB/s 
    KB/t tps  MB/s     KB/t tps  MB/s 
  343.33   1  0.40   132.56  16  2.02 
   43.48   6  0.26   150.03  13  1.90 
  391.00   2  0.61   153.50  13  1.92 
   11.81   6  0.07   103.90  31  3.15 
  512.00   1  0.40   597.14  31 18.07 
  512.00   1  0.40   647.10  55 34.74 
  512.00   1  0.40   626.13  56 33.98 
    8.00   0  0.00   531.00  59 30.58 
  161.54   3  0.41   511.83  62 31.03 
  412.80   1  0.40   474.76  63 29.39 
   10.62   3  0.03   215.98 103 21.81 
  512.00   1  0.40   235.87  76 17.46 
  374.18   2  0.80   230.05  30  6.69 
  512.00   2  1.20   522.18  18  8.97 
  397.10  20  7.60   544.42  17  9.14 
  124.67   6  0.73   151.98  23  3.47 
   20.87  42  0.86    50.01 107  5.23 
  143.42  29  4.09    51.36  87  4.36 
   17.81  95  1.65   163.45  20  3.22 
   13.71  75  1.00   133.15  56  7.28 
          disk0           disk1 
    KB/t tps  MB/s     KB/t tps  MB/s 
   30.96   5  0.14    77.50  23  1.74 
    0.00   0  0.00   108.43  17  1.76 
   13.25  64  0.83    78.25  44  3.36 
    0.00   0  0.00    14.86  76  1.11 
    8.00   1  0.01   206.40  36  7.18 
    5.60  13  0.07    98.59  15  1.42 
    0.00   0  0.00   122.58  15  1.75 
    0.00   0  0.00    82.08  20  1.57 
    8.00   0  0.00    63.86  41  2.53 
   11.78   5  0.06    18.44  70  1.25 
    0.00   0  0.00   488.77  23 10.88 
    8.00   0  0.00   692.22  46 31.35 
    0.00   0  0.00   541.37  64 34.04 
    0.00   0  0.00   649.81  56 35.52 
    6.55   2  0.01   632.38  57 35.44 
   50.18   9  0.43   606.33  55 32.67 
    0.00   0  0.00   397.20  70 27.30 
    4.00   0  0.00   446.21  67 29.19 
   37.59  24  0.90   228.71  87 19.43 
    0.00   0  0.00    32.64  20  0.64 
          disk0           disk1 
    KB/t tps  MB/s     KB/t tps  MB/s 
   16.00   0  0.01   317.02  25  7.80 
    0.00   0  0.00    33.66  20  0.65 
    0.00   0  0.00    93.67  20  1.79 
    8.00   0  0.00    83.55  20  1.60 
   10.89   5  0.06    57.55  53  2.99 
    0.00   0  0.00    19.52  17  0.32 
    5.14   1  0.01   104.24  17  1.71 
    8.00   0  0.00   319.63  24  7.49 
    0.00   0  0.00    63.41  15  0.93 
   24.00   0  0.01    88.31  18  1.55 
    0.00   0  0.00   100.73  31  3.07 
   16.60  14  0.23    17.44  27  0.46 
    8.00   0  0.00    86.35  15  1.26 
    0.00   0  0.00   102.60  17  1.72 
    0.00   0  0.00   317.70  23  7.01 
    0.00   0  0.00    81.92  16  1.26 
    0.00   0  0.00   109.13  16  1.66 
    8.64   4  0.04    53.22  41  2.11 
    5.14   1  0.01    93.15  13  1.20 
