          disk0           disk1 
    KB/t tps  MB/s     KB/t tps  MB/s 
   49.69 365 17.70     0.00   0  0.00 
   82.71 252 20.38     0.00   0  0.00 
   84.00 232 19.05     0.00   0  0.00 
          disk0           disk1 
    KB/t tps  MB/s     KB/t tps  MB/s 
   46.25 323 14.58     0.00   0  0.00 
   40.87 363 14.48     0.00   0  0.00 
   81.60 298 23.77     0.00   0  0.00 
   43.02 361 15.16     0.00   0  0.00 
   42.34 240  9.91     0.00   0  0.00 
   41.00 349 13.96     0.00   0  0.00 
   42.18 277 11.39     0.00   0  0.00 
   75.69 254 18.80     0.00   0  0.00 
   47.08 290 13.35     0.00   0  0.00 
   45.00 266 11.67     0.00   0  0.00 
   38.21 327 12.21     0.00   0  0.00 
   98.93 200 19.36     0.00   0  0.00 
   52.03 497 25.25     0.00   0  0.00 
  264.34  98 25.24     0.00   0  0.00 
  132.75 156 20.22     0.00   0  0.00 
   76.48 270 20.17     0.00   0  0.00 
   89.83 189 16.61     0.00   0  0.00 
   60.06 301 17.64     0.00   0  0.00 
   47.98 390 18.27     0.00   0  0.00 
  377.02  61 22.45     0.00   0  0.00 
          disk0           disk1 
    KB/t tps  MB/s     KB/t tps  MB/s 
  145.43 162 22.95     0.00   0  0.00 
   72.19 330 23.25     0.00   0  0.00 
  267.78  68 17.72     0.00   0  0.00 
   70.94 426 29.49     0.00   0  0.00 
  553.86  40 21.41     0.00   0  0.00 
   79.33 224 17.33     0.00   0  0.00 
   70.10 289 19.79     0.00   0  0.00 
   91.21 293 26.06     0.00   0  0.00 
   34.34 834 27.96     0.00   0  0.00 
   41.55 525 21.30     0.00   0  0.00 
   93.29 174 15.87     0.00   0  0.00 
   93.06 243 22.08     0.00   0  0.00 
   57.16 272 15.18     0.00   0  0.00 
   55.01 265 14.22     0.00   0  0.00 
   83.73 220 17.96     0.00   0  0.00 
  176.58 113 19.45     0.00   0  0.00 
   92.51 123 11.11     0.00   0  0.00 
  106.61 138 14.38     0.00   0  0.00 
  130.65 167 21.30     0.00   0  0.00 
   68.76 280 18.80     0.00   0  0.00 
          disk0           disk1 
    KB/t tps  MB/s     KB/t tps  MB/s 
   67.42 317 20.84     0.00   0  0.00 
   50.00 372 18.17     0.00   0  0.00 
  116.74 180 20.54     0.00   0  0.00 
   51.60 428 21.55     0.00   0  0.00 
   62.34 326 19.87     0.00   0  0.00 
   83.62 351 28.67     0.00   0  0.00 
   40.68 590 23.42     0.00   0  0.00 
   50.96 468 23.28     0.00   0  0.00 
   42.25 313 12.93     0.00   0  0.00 
  266.28  57 14.87     0.00   0  0.00 
   39.83 326 12.70     0.00   0  0.00 
   41.50 301 12.19     0.00   0  0.00 
   39.98 351 13.72     0.00   0  0.00 
  149.31 121 17.67     0.00   0  0.00 
   44.74 249 10.89     0.00   0  0.00 
   42.36 339 14.01     0.00   0  0.00 
   65.44 270 17.27     0.00   0  0.00 
   52.03 294 14.92     0.00   0  0.00 
   43.15 397 16.73     0.00   0  0.00 
   54.84 194 10.39     0.00   0  0.00 
          disk0           disk1 
    KB/t tps  MB/s     KB/t tps  MB/s 
   53.98 287 15.11     0.00   0  0.00 
   59.83 330 19.29     0.00   0  0.00 
   36.66 554 19.83     0.00   0  0.00 
   38.03 552 20.50     0.00   0  0.00 
   87.06 225 19.09     0.00   0  0.00 
   45.03 344 15.12     0.00   0  0.00 
   40.03 381 14.91     0.00   0  0.00 
   41.52 521 21.12     0.00   0  0.00 
   35.31 634 21.86     0.00   0  0.00 
   68.50 272 18.17     0.00   0  0.00 
   36.49 477 17.00     0.00   0  0.00 
   34.61 621 20.99     0.00   0  0.00 
   35.90 1160 40.68     0.00   0  0.00 
   45.82 509 22.76     0.00   0  0.00 
   33.77 863 28.47     0.00   0  0.00 
   39.52 726 28.01     0.00   0  0.00 
   33.71 844 27.77     0.00   0  0.00 
   35.08 960 32.87     0.00   0  0.00 
   41.67 786 31.99     0.00   0  0.00 
   31.05 962 29.16     0.00   0  0.00 
          disk0           disk1 
    KB/t tps  MB/s     KB/t tps  MB/s 
   31.70 1166 36.09     0.00   0  0.00 
   31.30 946 28.92     0.00   0  0.00 
   30.15 690 20.32     0.00   0  0.00 
   33.25 919 29.85     0.00   0  0.00 
   45.65 753 33.55     0.00   0  0.00 
   37.78 942 34.75     0.00   0  0.00 
   35.49 843 29.23     0.00   0  0.00 
   87.86 311 26.68     0.00   0  0.00 
   34.48 726 24.46     0.00   0  0.00 
   38.14 966 35.98     0.00   0  0.00 
   46.71 843 38.44     0.00   0  0.00 
   32.03 1375 43.00     0.00   0  0.00 
   32.92 1209 38.87     0.00   0  0.00 
   35.28 869 29.93     0.00   0  0.00 
   46.15 771 34.74     0.00   0  0.00 
   32.92 1110 35.68     0.00   0  0.00 
   45.41 730 32.39     0.00   0  0.00 
   45.60 608 27.09     0.00   0  0.00 
   49.33 585 28.18     0.00   0  0.00 
   34.73 972 32.95     0.00   0  0.00 
          disk0           disk1 
    KB/t tps  MB/s     KB/t tps  MB/s 
   37.51 896 32.81     0.00   0  0.00 
   53.63 674 35.32     0.00   0  0.00 
   34.50 1012 34.11     0.00   0  0.00 
   44.00 849 36.47     0.00   0  0.00 
   40.27 901 35.43     0.00   0  0.00 
   35.63 1050 36.54     0.00   0  0.00 
   35.04 804 27.52     0.00   0  0.00 
   41.43 647 26.18     0.00   0  0.00 
   41.77 556 22.66     0.00   0  0.00 
   41.10 551 22.13     0.00   0  0.00 
   53.92 411 21.64     0.00   0  0.00 
   36.65 840 30.05     0.00   0  0.00 
   48.64 401 19.07     0.00   0  0.00 
   42.44 417 17.27     0.00   0  0.00 
   44.09 381 16.39     0.00   0  0.00 
   50.72 390 19.32     0.00   0  0.00 
   84.91 167 13.83     0.00   0  0.00 
   56.99 309 17.19     0.00   0  0.00 
   62.98 246 15.10     0.00   0  0.00 
   43.86 488 20.90     0.00   0  0.00 
          disk0           disk1 
    KB/t tps  MB/s     KB/t tps  MB/s 
   48.18 447 21.05     0.00   0  0.00 
   68.46 356 23.77     0.00   0  0.00 
   72.67 250 17.74     0.00   0  0.00 
   71.64 274 19.17     0.00   0  0.00 
   56.61 399 22.05     0.00   0  0.00 
   60.27 265 15.58     0.00   0  0.00 
   64.85 333 21.07     0.00   0  0.00 
   58.55 404 23.11     0.00   0  0.00 
   64.81 275 17.40     0.00   0  0.00 
   45.32 441 19.53     0.00   0  0.00 
   37.52 473 17.34     0.00   0  0.00 
   51.09 632 31.55     0.00   0  0.00 
   48.12 488 22.94     0.00   0  0.00 
   37.39 603 22.02     0.00   0  0.00 
   74.97 251 18.36     0.00   0  0.00 
   42.26 511 21.07     0.00   0  0.00 
   38.36 476 17.83     0.00   0  0.00 
  145.85 113 16.06     0.00   0  0.00 
   34.09 779 25.93     0.00   0  0.00 
   38.67 734 27.71     0.00   0  0.00 
          disk0           disk1 
    KB/t tps  MB/s     KB/t tps  MB/s 
  297.75  61 17.67     0.00   0  0.00 
  123.40 192 23.18     0.00   0  0.00 
   32.87 646 20.75     0.00   0  0.00 
   24.68 832 20.06     0.00   0  0.00 
   16.94 1626 26.89     0.00   0  0.00 
   42.65 638 26.55     0.00   0  0.00 
  173.42  84 14.19    12.00   1  0.01 
  153.23 109 16.36     0.00   0  0.00 
  184.12 116 20.78     0.00   0  0.00 
   42.92 629 26.35    12.17   1  0.01 
   46.22 427 19.26     0.00   0  0.00 
   41.61 383 15.55     0.00   0  0.00 
   36.06 597 21.03     0.00   0  0.00 
  103.75 196 19.83     0.00   0  0.00 
  206.05  95 19.07     0.00   0  0.00 
  122.75 171 20.52     0.00   0  0.00 
  217.31  73 15.40     0.00   0  0.00 
  207.96  85 17.18     0.00   0  0.00 
   65.85 331 21.26     0.00   0  0.00 
   36.83 643 23.11     0.00   0  0.00 
          disk0           disk1 
    KB/t tps  MB/s     KB/t tps  MB/s 
  146.60 118 16.89     0.00   0  0.00 
  164.76 127 20.50     0.00   0  0.00 
  194.98  90 17.17     0.00   0  0.00 
   75.61 210 15.50     0.00   0  0.00 
   85.71 167 13.94     0.00   0  0.00 
  206.25  76 15.34     0.00   0  0.00 
  201.20  66 13.04     0.00   0  0.00 
   88.87 116 10.05     0.00   0  0.00 
  151.85 134 19.84     0.00   0  0.00 
  186.00 124 22.45     0.00   0  0.00 
  175.26  88 15.13     0.00   0  0.00 
   37.98 573 21.26     0.00   0  0.00 
   42.77 446 18.61     0.00   0  0.00 
  208.38  81 16.44     0.00   0  0.00 
  124.71 181 22.09     0.00   0  0.00 
  213.74 114 23.75     0.00   0  0.00 
   53.38 396 20.64     0.00   0  0.00 
   80.84 318 25.13     0.00   0  0.00 
  181.50 139 24.71     0.00   0  0.00 
  175.77 124 21.21     0.00   0  0.00 
          disk0           disk1 
    KB/t tps  MB/s     KB/t tps  MB/s 
  180.83 117 20.73     0.00   0  0.00 
  251.76  93 22.86     0.00   0  0.00 
  110.70 163 17.66     0.00   0  0.00 
   46.36 464 21.00     0.00   0  0.00 
  187.19  61 11.22     0.00   0  0.00 
  212.20  24  4.93     0.00   0  0.00 
  180.45 103 18.14     7.95  21  0.16 
  174.83 120 20.55     7.89  28  0.21 
  140.54 142 19.54     7.88  38  0.29 
  122.07 149 17.71     7.88  38  0.29 
   41.16 471 18.93     8.00  19  0.15 
   47.86 485 22.67     7.96  82  0.64 
   38.28 675 25.23     8.00   3  0.02 
   30.98 757 22.91     8.00  33  0.26 
   60.82 464 27.56     7.98  70  0.55 
   38.38 669 25.06     7.91  52  0.40 
   35.17 764 26.23     7.91  34  0.26 
   66.23 330 21.33     8.00  13  0.10 
   56.35 424 23.32     8.00  20  0.15 
  131.80 152 19.61     8.00   8  0.06 
          disk0           disk1 
    KB/t tps  MB/s     KB/t tps  MB/s 
  153.08 141 21.10     8.00  13  0.10 
   39.74 801 31.08     8.00  23  0.18 
   48.75 449 21.38     8.00  12  0.09 
   40.73 638 25.36     7.78  49  0.37 
   31.71 784 24.26     7.53  13  0.09 
   38.81 650 24.61     3.42  14  0.05 
   33.60 478 15.69     3.60  13  0.04 
   73.86 142 10.24     3.16   6  0.02 
   32.16 784 24.61     2.85  17  0.05 
  107.83 126 13.26     3.61  11  0.04 
  132.61 142 18.43     3.85  13  0.05 
   33.36 515 16.77     7.95 127  0.98 
   29.92 682 19.92     7.92  59  0.45 
   31.98 529 16.53     7.48  17  0.13 
  159.78 134 20.97     3.80  13  0.05 
  125.15 204 24.93     3.30  12  0.04 
   35.64 634 22.08     4.60  13  0.06 
   36.07 579 20.40     0.00   0  0.00 
   47.19 622 28.67     0.00   0  0.00 
   34.44 658 22.14     0.00   0  0.00 
          disk0           disk1 
    KB/t tps  MB/s     KB/t tps  MB/s 
   29.92 650 19.00     8.00   1  0.01 
   42.24 467 19.25     8.00  31  0.24 
   95.74 220 20.60     8.00  28  0.22 
   30.72 721 21.62     8.00  35  0.27 
   14.37 2032 28.51     8.00  27  0.21 
   74.86 351 25.68     8.00  20  0.15 
   34.72 662 22.45     8.00  39  0.31 
   32.12 626 19.63     8.00  36  0.28 
   34.44 585 19.66     8.00  29  0.23 
   43.70 605 25.82     8.00  33  0.25 
   53.41 421 21.98     8.00  33  0.25 
   37.04 659 23.82     8.00  37  0.29 
   40.69 489 19.45     8.00  37  0.29 
   36.06 913 32.14     8.00  51  0.40 
   35.85 747 26.14     8.00  47  0.37 
   36.25 544 19.27     8.00  36  0.28 
   35.00 793 27.09     8.00  45  0.35 
   35.16 952 32.69     8.00  53  0.41 
   40.46 464 18.35     8.00  37  0.29 
  731.33   1  0.86     0.00   0  0.00 
          disk0           disk1 
    KB/t tps  MB/s     KB/t tps  MB/s 
   64.25 218 13.67     8.00  14  0.11 
   33.71 533 17.56     0.00   0  0.00 
   35.99 355 12.47     0.00   0  0.00 
   31.18 558 16.99     0.00   0  0.00 
   34.08 673 22.40     8.00  39  0.31 
   33.43 707 23.09     8.00  47  0.36 
   35.69 661 23.04     8.00  37  0.29 
   35.11 998 34.23     8.00  52  0.41 
   33.53 586 19.18     8.00  35  0.27 
   33.07 904 29.20     8.00  53  0.42 
   41.84 690 28.18     7.93  45  0.35 
   29.68 860 24.93     3.02  20  0.06 
   32.00 924 28.87     7.72  54  0.41 
   32.11 849 26.63     7.84  38  0.29 
   37.93 1032 38.24     8.00  48  0.38 
   36.95 773 27.88    55.37 226 12.24 
   35.64 776 27.00    55.58 245 13.29 
   31.33 941 28.78     7.27 367  2.61 
   48.87 436 20.82     7.92 398  3.08 
   35.90 664 23.29     7.68 459  3.44 
          disk0           disk1 
    KB/t tps  MB/s     KB/t tps  MB/s 
   40.52 576 22.80     8.00 802  6.26 
   29.21 795 22.69     7.96  22  0.17 
   40.39 702 27.68     7.92  29  0.23 
   31.78 912 28.31     7.83  19  0.14 
   41.07 731 29.32     7.92  30  0.23 
   32.14 836 26.23     8.06  25  0.20 
   44.20 633 27.32     9.46  70  0.65 
   31.21 981 29.91     7.92  30  0.23 
   39.84 660 25.69     9.39  74  0.68 
   50.68 480 23.74    11.44  52  0.58 
   36.37 665 23.62     9.56  72  0.67 
   38.36 742 27.80    10.75 100  1.05 
   33.55 736 24.11    12.95 125  1.58 
   31.81 728 22.60    13.88  34  0.46 
   31.21 762 23.23     8.00   2  0.02 
   33.82 718 23.71     8.00   0  0.00 
   30.62 800 23.92    11.07  50  0.54 
   49.17 496 23.82    29.45  30  0.86 
   38.57 607 22.86     9.45 126  1.16 
   50.65 357 17.68     9.92  45  0.44 
          disk0           disk1 
    KB/t tps  MB/s     KB/t tps  MB/s 
   50.77 340 16.87    10.43  67  0.68 
   36.67 596 21.36    11.02  79  0.85 
   35.56 628 21.81    11.21  52  0.56 
   74.13 214 15.52    11.96  19  0.22 
   47.98 553 25.90    24.89  43  1.04 
   30.52 864 25.75    41.70  15  0.63 
   36.63 1289 46.09   103.08  10  1.05 
   37.40 734 26.82    34.52  12  0.42 
  102.28 178 17.79    10.17  64  0.64 
   96.05 198 18.53     6.40   2  0.01 
  131.44 146 18.71     0.00   0  0.00 
  179.66 101 17.71    33.52  18  0.60 
   98.28 167 16.02  1024.00   1  0.80 
   32.46 909 28.80    89.97  13  1.14 
   31.27 715 21.84    30.29  26  0.76 
   48.78 391 18.63    11.31  49  0.54 
   30.64 615 18.41     7.75  23  0.17 
   33.47 656 21.45    12.09  43  0.51 
   32.79 640 20.51    97.96   9  0.86 
   49.45 252 12.17   149.52   4  0.61 
          disk0           disk1 
    KB/t tps  MB/s     KB/t tps  MB/s 
   50.56 389 19.23  1024.00   0  0.40 
   31.44 753 23.13   122.37   5  0.65 
   51.36 490 24.58    21.57  56  1.18 
  209.93 124 25.42    13.45  94  1.24 
  154.16 128 19.33     6.59   7  0.04 
  152.21 125 18.55     4.33   5  0.02 
   93.41 199 18.17    11.74  12  0.14 
   42.08 639 26.26    12.54  65  0.80 
   32.21 1050 33.02    17.97  46  0.81 
   41.54 216  8.75     4.53   3  0.01 
   39.64 585 22.65    13.66  24  0.33 
  192.26  97 18.17     9.36  10  0.09 
   52.36 607 31.04    21.81   8  0.18 
   33.29 880 28.61    10.07   5  0.05 
   29.85 935 27.25    15.90  52  0.80 
   39.52 855 33.01    13.52   6  0.08 
   31.98 816 25.49     7.51  29  0.21 
   32.30 802 25.28    38.59   3  0.13 
   34.02 805 26.76    53.93  11  0.59 
   32.88 911 29.24     0.00   0  0.00 
          disk0           disk1 
    KB/t tps  MB/s     KB/t tps  MB/s 
   36.76 1071 38.44     0.00   0  0.00 
   46.86 218  9.97     0.00   0  0.00 
   30.93 614 18.53    11.92   3  0.03 
   30.67 654 19.60     0.00   0  0.00 
   31.78 604 18.74     0.00   0  0.00 
   40.10 576 22.55     0.00   0  0.00 
   51.34 412 20.66     0.00   0  0.00 
   50.17 482 23.60     0.00   0  0.00 
   49.72 421 20.45     0.00   0  0.00 
   63.38 342 21.16     0.00   0  0.00 
   47.24 490 22.58     0.00   0  0.00 
   29.56 708 20.44     0.00   0  0.00 
   33.54 1001 32.78     0.00   0  0.00 
   93.91 243 22.28     0.00   0  0.00 
  216.10 104 21.94     0.00   0  0.00 
  266.38  65 16.86     0.00   0  0.00 
  204.84  84 16.84     0.00   0  0.00 
  230.64  72 16.22     0.00   0  0.00 
  236.42  79 18.14     0.00   0  0.00 
   38.11 873 32.51     0.00   0  0.00 
          disk0           disk1 
    KB/t tps  MB/s     KB/t tps  MB/s 
   33.54 981 32.14     0.00   0  0.00 
   44.90 611 26.78    11.71   1  0.02 
   36.79 697 25.03     0.00   0  0.00 
   43.03 609 25.59     0.00   0  0.00 
  186.14 130 23.63     0.00   0  0.00 
   38.15 711 26.50     0.00   0  0.00 
   39.51 1170 45.14     0.00   0  0.00 
  154.62 147 22.16     0.00   0  0.00 
  160.94 252 39.56     0.00   0  0.00 
  164.14 127 20.38     0.00   0  0.00 
   38.13 592 22.05     0.00   0  0.00 
   78.22 101  7.73     0.00   0  0.00 
   65.06 279 17.72     0.00   0  0.00 
   32.98 766 24.65     0.00   0  0.00 
   30.25 826 24.38     0.00   0  0.00 
  249.55  78 19.00     0.00   0  0.00 
   51.02 685 34.15     0.00   0  0.00 
   35.57 870 30.21     0.00   0  0.00 
   57.38 322 18.03     0.00   0  0.00 
   38.11 693 25.78     0.00   0  0.00 
          disk0           disk1 
    KB/t tps  MB/s     KB/t tps  MB/s 
   27.07 890 23.52     0.00   0  0.00 
   25.06 949 23.22     0.00   0  0.00 
   38.58 818 30.84     0.00   0  0.00 
   72.69 213 15.15     0.00   0  0.00 
  445.03  38 16.51     0.00   0  0.00 
  310.70  77 23.24     0.00   0  0.00 
   50.14 350 17.13     0.00   0  0.00 
   37.43 500 18.26     0.00   0  0.00 
   38.46 735 27.61     0.00   0  0.00 
   92.24 251 22.58     0.00   0  0.00 
   36.71 633 22.69     0.00   0  0.00 
   38.73 694 26.23     0.00   0  0.00 
   43.70 298 12.72     0.00   0  0.00 
  123.10 172 20.72     0.00   0  0.00 
   50.13 357 17.47     0.00   0  0.00 
   53.80 366 19.22     0.00   0  0.00 
   91.28 253 22.53     0.00   0  0.00 
   52.96 339 17.54     0.00   0  0.00 
   50.59 348 17.19    11.47  27  0.30 
  108.43 193 20.43     0.00   0  0.00 
          disk0           disk1 
    KB/t tps  MB/s     KB/t tps  MB/s 
   49.06 261 12.50     0.00   0  0.00 
   60.37 203 11.98     0.00   0  0.00 
   72.75 203 14.42     0.00   0  0.00 
   70.15 282 19.33    92.26   6  0.56 
   37.73 485 17.86    12.67   3  0.04 
   44.02 430 18.47     0.00   0  0.00 
  178.28 115 19.98     0.00   0  0.00 
  104.41 103 10.46     0.00   0  0.00 
   83.32 174 14.19     0.00   0  0.00 
  122.91 265 31.80     0.00   0  0.00 
   64.90 226 14.33     0.00   0  0.00 
   74.10 291 21.05     0.00   0  0.00 
   75.85 254 18.78     0.00   0  0.00 
  118.10 199 22.93     0.00   0  0.00 
  178.51  97 16.97     0.00   0  0.00 
  176.96 108 18.59     0.00   0  0.00 
  158.59 120 18.64     0.00   0  0.00 
   34.06 944 31.40     0.00   0  0.00 
  157.73 173 26.61     0.00   0  0.00 
   65.08 278 17.64     0.00   0  0.00 
          disk0           disk1 
    KB/t tps  MB/s     KB/t tps  MB/s 
   42.00 506 20.73     0.00   0  0.00 
   71.81 375 26.29     0.00   0  0.00 
   63.15 382 23.54     0.00   0  0.00 
   39.02 544 20.74     0.00   0  0.00 
   60.50 260 15.33   106.11   4  0.39 
   89.34 190 16.59   289.01  94 26.47 
   40.57 468 18.56    41.47 287 11.63 
   66.39 310 20.08    14.95 550  8.03 
   62.15 509 30.91   109.77 196 21.05 
   41.92 569 23.30   105.41  85  8.71 
   45.06 776 34.16     0.00   0  0.00 
   58.74 599 34.33     0.00   0  0.00 
   57.36 467 26.19     0.00   0  0.00 
   79.07 322 24.83     0.00   0  0.00 
   62.02 278 16.81     0.00   0  0.00 
  103.30 267 26.95     0.00   0  0.00 
   46.65 474 21.59     0.00   0  0.00 
   51.16 452 22.59     0.00   0  0.00 
  120.57 189 22.22     0.00   0  0.00 
   42.98 553 23.20     0.00   0  0.00 
          disk0           disk1 
    KB/t tps  MB/s     KB/t tps  MB/s 
   36.10 498 17.55     0.00   0  0.00 
   61.33 348 20.87     0.00   0  0.00 
   78.53 356 27.26     0.00   0  0.00 
   54.35 417 22.15     0.00   0  0.00 
  100.36 240 23.52     0.00   0  0.00 
  107.09 286 29.91     0.00   0  0.00 
   65.34 330 21.09     0.00   0  0.00 
   86.84 210 17.84     0.00   0  0.00 
   51.03 428 21.34    11.58  49  0.55 
   47.92 462 21.63     7.67   2  0.02 
  113.66 146 16.16     8.00   6  0.05 
   58.46 472 26.96     8.00   1  0.01 
   48.82 420 20.03     9.33   4  0.03 
   63.59 347 21.53     8.00   4  0.03 
   79.96 292 22.78     7.03  40  0.27 
   55.65 383 20.81     8.22   4  0.03 
   63.40 460 28.46     8.00   0  0.00 
   49.61 382 18.49     8.36   2  0.02 
  109.59 210 22.43     8.00   9  0.07 
   48.04 362 16.99     8.17 148  1.18 
          disk0           disk1 
    KB/t tps  MB/s     KB/t tps  MB/s 
   80.14  62  4.85     8.19 250  2.00 
   52.76 351 18.07     8.98  91  0.79 
  199.13 162 31.50     8.99  82  0.72 
   95.23 112 10.38     9.89  45  0.43 
   57.16 342 19.07     9.33   7  0.07 
   40.90 573 22.90    17.74  67  1.16 
   59.12 419 24.21     9.32  20  0.19 
   36.53 631 22.49     0.00   0  0.00 
   69.67 400 27.21     0.00   0  0.00 
   34.36 693 23.25     0.00   0  0.00 
   32.97 859 27.65     0.00   0  0.00 
   38.21 785 29.28     0.00   0  0.00 
   38.87 608 23.07     0.00   0  0.00 
   42.07 594 24.41    41.39   9  0.37 
   34.18 690 23.05    60.33   7  0.42 
   37.62 740 27.19   165.85   3  0.42 
   35.32 737 25.43    17.52  29  0.50 
   56.80 307 17.01    10.50  49  0.50 
   32.46 721 22.85     8.45   9  0.07 
   38.34 536 20.07     7.90  59  0.46 
          disk0           disk1 
    KB/t tps  MB/s     KB/t tps  MB/s 
   60.93 368 21.91     0.00   0  0.00 
   49.48 577 27.88     0.00   0  0.00 
   53.47 502 26.20     0.00   0  0.00 
   55.17 491 26.47     0.00   0  0.00 
   55.22 406 21.88     0.00   0  0.00 
   48.51 337 15.96     9.27  19  0.18 
   49.38 765 36.87     0.00   0  0.00 
  113.57 305 33.87     8.00   2  0.02 
   62.55 418 25.54    10.15  86  0.85 
   55.70 496 26.96     8.00  45  0.35 
   73.02 334 23.84    10.47  81  0.83 
   42.39 646 26.73    11.88  73  0.84 
   48.41 548 25.92     8.00  35  0.27 
   46.75 652 29.75    10.77  63  0.66 
   37.10 954 34.56    10.44  71  0.72 
   55.58 598 32.48    10.97  58  0.63 
   49.73 548 26.61    11.48  50  0.56 
   34.84 1049 35.70    10.75  65  0.68 
   41.65 748 30.41     9.50  46  0.43 
   35.93 850 29.83    10.80  62  0.65 
          disk0           disk1 
    KB/t tps  MB/s     KB/t tps  MB/s 
   59.63 433 25.22    11.02  57  0.62 
   32.74 1030 32.91    10.55  67  0.69 
   33.00 902 29.07    10.76  64  0.67 
   31.27 1077 32.88    10.64  66  0.68 
   33.69 856 28.17    10.37  52  0.53 
   39.84 769 29.90    10.78  63  0.66 
   32.45 927 29.37    11.05  57  0.62 
   38.43 921 34.58    10.89  60  0.64 
   37.24 701 25.50    13.38  95  1.24 
   34.56 929 31.36    10.62  66  0.69 
   39.80 948 36.83    10.36  70  0.71 
   39.02 845 32.22    10.88  60  0.64 
   38.23 634 23.66    12.01  45  0.53 
   29.44 689 19.82     8.00  26  0.20 
   29.99 706 20.69     8.00  17  0.13 
   30.43 762 22.64    12.01  43  0.51 
   30.75 890 26.73    11.19  50  0.54 
   31.35 888 27.18     8.00  37  0.29 
   34.24 864 28.89     8.00 138  1.08 
   35.38 1061 36.64     8.00 129  1.01 
          disk0           disk1 
    KB/t tps  MB/s     KB/t tps  MB/s 
   37.14 792 28.71    18.11 140  2.48 
   44.37 694 30.08   702.00   2  1.64 
   42.01 648 26.60   364.09   5  1.63 
   31.75 1259 39.03  1024.00   2  2.00 
   36.50 941 33.53  1024.00   2  2.00 
   38.62 943 35.56  1024.00   2  2.00 
   38.59 1094 41.23  1024.00   2  2.00 
   34.14 1007 33.56  1024.00   2  2.00 
   35.55 1311 45.53  1024.00   2  2.40 
   37.40 864 31.54   589.29   3  1.61 
   32.34 1188 37.53   945.54   3  2.40 
   50.68 728 36.02   820.00   2  1.60 
   36.08 1175 41.38  1024.00   2  2.00 
   32.91 937 30.12    45.43  26  1.17 
   38.08 799 29.71    61.76  20  1.21 
   30.06 1006 29.55    72.90  17  1.22 
   29.63 1076 31.13     0.00   0  0.00 
   31.07 1174 35.62     0.00   0  0.00 
   31.60 969 29.91     7.98  46  0.36 
   36.62 900 32.19     9.88  87  0.84 
          disk0           disk1 
    KB/t tps  MB/s     KB/t tps  MB/s 
   39.26 702 26.91    11.19  55  0.60 
   37.23 773 28.12    29.34  73  2.08 
   36.35 918 32.59    10.19  83  0.83 
   31.02 1096 33.21    10.35  74  0.74 
  114.35 179 19.94    11.40  51  0.57 
   26.69 1033 26.93    10.57  67  0.70 
   33.35 922 30.04    12.80  73  0.91 
   31.55 1013 31.21    26.87  75  1.97 
   30.55 875 26.11    10.60  67  0.69 
   37.81 985 36.38    10.63  68  0.70 
   45.39 622 27.56    10.71  64  0.67 
   34.20 752 25.12    10.84  61  0.65 
   38.24 1112 41.51    22.36  82  1.80 
   34.73 1229 41.69     9.00 100  0.88 
   29.59 1221 35.29    12.16  36  0.42 
   36.50 869 30.97     8.19  71  0.57 
   32.26 1347 42.43    60.88  25  1.46 
   31.63 1062 32.79     9.61  79  0.74 
   38.38 942 35.31    55.13  18  0.99 
   62.92 272 16.69    11.28  44  0.48 
          disk0           disk1 
    KB/t tps  MB/s     KB/t tps  MB/s 
   29.27 824 23.55    11.02  64  0.69 
   31.48 619 19.02    23.49  59  1.34 
   31.21 598 18.24     9.65 131  1.23 
   31.13 1066 32.42   192.73   2  0.41 
   30.68 836 25.05  1024.00   0  0.40 
   37.58 905 33.21  1024.00   0  0.40 
   32.87 559 17.93    87.04  22  1.85 
   35.10 1150 39.42   147.73  15  2.11 
   44.33 569 24.64    22.71  71  1.58 
   37.78 695 25.65    47.42  11  0.51 
   37.95 847 31.39    89.33  12  1.05 
   34.03 1010 33.57    96.09  19  1.75 
   37.58 822 30.18    76.65  25  1.90 
   34.03 1045 34.73    93.35  12  1.13 
   33.98 1194 39.63   102.60  15  1.54 
   37.01 957 34.59    99.32  15  1.49 
   33.24 890 28.88    94.87  13  1.24 
   36.03 606 21.33   349.50  14  4.91 
   50.28 517 25.38    29.45  23  0.65 
   27.96 678 18.52    24.77  17  0.40 
          disk0           disk1 
    KB/t tps  MB/s     KB/t tps  MB/s 
   42.88 690 28.90    59.67  20  1.14 
   32.01 824 25.76     7.44  19  0.14 
   36.83 745 26.81    34.94  36  1.23 
   39.99 746 29.15   589.56   4  2.07 
   33.27 960 31.20   594.75   3  1.86 
   36.27 973 34.46    66.03  25  1.59 
   33.03 969 31.26   627.29   3  2.08 
   42.92 657 27.56    50.18  25  1.21 
   35.64 660 22.99    10.54  94  0.96 
   42.58 668 27.77    33.89 119  3.94 
   35.30 1146 39.53    61.76 328 19.81 
   30.73 1151 34.54    39.88 401 15.62 
   36.35 941 33.41   105.87 106 10.92 
   36.15 957 33.77    89.56  94  8.20 
   31.22 1158 35.31    21.01  88  1.81 
   36.31 887 31.43    12.79  36  0.44 
   37.07 891 32.27     9.83  96  0.92 
   30.00 1155 33.85     8.75  60  0.51 
   37.87 636 23.52    10.91 178  1.89 
   48.54 559 26.49    10.62 119  1.23 
          disk0           disk1 
    KB/t tps  MB/s     KB/t tps  MB/s 
