Gledis-server -config=rocksdb.conf
 12.9  6.4


2014/08/29 18:22:28
 %CPU %MEM
  8.1  6.5


2014/08/29 18:22:38
 %CPU %MEM
 57.2  6.6


2014/08/29 18:22:48
 %CPU %MEM
176.0  6.6


2014/08/29 18:22:58
 %CPU %MEM
192.3  7.1


2014/08/29 18:23:08
 %CPU %MEM
  0.0  7.4


2014/08/29 18:23:18
 %CPU %MEM
191.0  7.7


2014/08/29 18:23:28
 %CPU %MEM
190.8  7.9


2014/08/29 18:23:38
 %CPU %MEM
191.3  8.0


2014/08/29 18:23:48
 %CPU %MEM
 55.6  8.2


2014/08/29 18:23:58
 %CPU %MEM
192.2  8.4


2014/08/29 18:24:08
 %CPU %MEM
188.6  8.5


2014/08/29 18:24:18
 %CPU %MEM
 46.5  8.7


2014/08/29 18:24:28
 %CPU %MEM
 64.9  8.6


2014/08/29 18:24:38
 %CPU %MEM
 52.4  8.7


2014/08/29 18:24:50
 %CPU %MEM
103.1  8.6


2014/08/29 18:25:00
 %CPU %MEM
161.9  8.5


2014/08/29 18:25:10
 %CPU %MEM
190.5  8.8


2014/08/29 18:25:20
 %CPU %MEM
192.6  9.1


2014/08/29 18:25:30
 %CPU %MEM
189.7  9.2


2014/08/29 18:25:40
 %CPU %MEM
186.6  9.2


2014/08/29 18:25:50
 %CPU %MEM
130.3  9.3


2014/08/29 18:26:00
 %CPU %MEM
188.2  9.3


2014/08/29 18:26:10
 %CPU %MEM
170.6  9.3


2014/08/29 18:26:20
 %CPU %MEM
185.8  9.3


2014/08/29 18:26:30
 %CPU %MEM
186.7  9.3


2014/08/29 18:26:40
 %CPU %MEM
183.7  9.3


2014/08/29 18:26:50
 %CPU %MEM
149.3  9.3


2014/08/29 18:27:00
 %CPU %MEM
131.7  9.3


2014/08/29 18:27:10
 %CPU %MEM
  8.0  9.4


2014/08/29 18:27:20
 %CPU %MEM
233.1  9.1


2014/08/29 18:27:30
 %CPU %MEM
205.3  9.0


2014/08/29 18:27:40
 %CPU %MEM
230.7  9.2


2014/08/29 18:27:50
 %CPU %MEM
 63.5  9.4


2014/08/29 18:28:00
 %CPU %MEM
256.8  9.6


2014/08/29 18:28:10
 %CPU %MEM
187.9  9.5


2014/08/29 18:28:20
 %CPU %MEM
 60.4  9.5


2014/08/29 18:28:30
 %CPU %MEM
194.2  9.5


2014/08/29 18:28:41
 %CPU %MEM
  0.1  9.5


2014/08/29 18:28:51
 %CPU %MEM
 97.5  9.5


2014/08/29 18:29:01
 %CPU %MEM
 41.9  9.5


2014/08/29 18:29:11
 %CPU %MEM
 84.2  9.5


2014/08/29 18:29:21
 %CPU %MEM
178.1  9.5


2014/08/29 18:29:31
 %CPU %MEM
131.4  9.5


2014/08/29 18:29:41
 %CPU %MEM
103.3  9.5


2014/08/29 18:29:51
 %CPU %MEM
164.9  9.5


2014/08/29 18:30:01
 %CPU %MEM
126.4  9.5


2014/08/29 18:30:11
 %CPU %MEM
160.3  9.6


2014/08/29 18:30:21
 %CPU %MEM
 82.5  9.4


2014/08/29 18:30:31
 %CPU %MEM
 69.8  9.2


2014/08/29 18:30:41
 %CPU %MEM
 73.5  9.3


2014/08/29 18:30:51
 %CPU %MEM
135.3  9.5


2014/08/29 18:31:01
 %CPU %MEM
238.4  9.7


2014/08/29 18:31:11
 %CPU %MEM
 77.3  9.6


2014/08/29 18:31:21
 %CPU %MEM
188.3  9.7


2014/08/29 18:31:31
 %CPU %MEM
135.1  9.7


2014/08/29 18:31:42
 %CPU %MEM
171.8  9.7


2014/08/29 18:31:52
 %CPU %MEM
118.8  9.7


2014/08/29 18:32:02
 %CPU %MEM
131.0  9.7


2014/08/29 18:32:12
 %CPU %MEM
